MsgID.STATE,1521839760.0748959,False,False
MsgID.GLOBAL_HOME,1521839772.8782921,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8784420,-122.3974502,37.7924796,0.2160000
MsgID.LOCAL_VELOCITY,1521839772.8784420,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8786080,-0.0869903,0.2702042,-0.2166862
MsgID.LOCAL_VELOCITY,1521839772.8786080,-0.0000061,-0.0000311,0.0000214
MsgID.GLOBAL_POSITION,1521839772.8787682,-122.3974507,37.7924807,0.2310000
MsgID.LOCAL_VELOCITY,1521839772.8787682,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8788919,0.0284561,0.2251428,-0.2311959
MsgID.LOCAL_VELOCITY,1521839772.8788919,0.0000017,-0.0000020,0.0000112
MsgID.GLOBAL_POSITION,1521839772.8790250,-122.3974523,37.7924815,0.2260000
MsgID.LOCAL_VELOCITY,1521839772.8790250,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8792892,0.1230256,0.0883920,-0.2269113
MsgID.LOCAL_VELOCITY,1521839772.8792892,0.0000074,-0.0000127,0.0000141
MsgID.GLOBAL_POSITION,1521839772.8794382,-122.3974516,37.7924800,0.2080000
MsgID.LOCAL_VELOCITY,1521839772.8794382,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8795619,-0.0505073,0.1517891,-0.2089583
MsgID.LOCAL_VELOCITY,1521839772.8795619,-0.0000069,0.0000177,0.0000134
MsgID.STATE,1521839772.8797660,True,True
MsgID.GLOBAL_HOME,1521839772.8799100,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8800151,-122.3974497,37.7924790,0.1780000
MsgID.LOCAL_VELOCITY,1521839772.8800151,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8801370,-0.1611215,0.3163109,-0.1783617
MsgID.LOCAL_VELOCITY,1521839772.8801370,-0.0000010,-0.0000030,0.0000141
MsgID.GLOBAL_POSITION,1521839772.8802660,-122.3974498,37.7924799,0.1460000
MsgID.LOCAL_VELOCITY,1521839772.8802660,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8803849,-0.0554169,0.3080434,-0.1467950
MsgID.LOCAL_VELOCITY,1521839772.8803849,-0.0000181,0.0000105,0.0000137
MsgID.GLOBAL_POSITION,1521839772.8805089,-122.3974505,37.7924813,0.1100000
MsgID.LOCAL_VELOCITY,1521839772.8805089,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8806322,0.0991611,0.2469608,-0.1105603
MsgID.LOCAL_VELOCITY,1521839772.8806322,0.0000169,-0.0000087,0.0000154
MsgID.GLOBAL_POSITION,1521839772.8807559,-122.3974520,37.7924794,0.0820000
MsgID.LOCAL_VELOCITY,1521839772.8807559,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8808730,-0.1121016,0.1143137,-0.0828303
MsgID.LOCAL_VELOCITY,1521839772.8808730,-0.0000121,-0.0000171,0.0000099
MsgID.STATE,1521839772.8810520,True,True
MsgID.GLOBAL_HOME,1521839772.8811891,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8812909,-122.3974519,37.7924796,0.0590000
MsgID.LOCAL_VELOCITY,1521839772.8812909,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8814101,-0.0854811,0.1182444,-0.0595658
MsgID.LOCAL_VELOCITY,1521839772.8814101,0.0000102,0.0000101,0.0000081
MsgID.GLOBAL_POSITION,1521839772.8815370,-122.3974504,37.7924811,0.0480000
MsgID.LOCAL_VELOCITY,1521839772.8815370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8816531,0.0765514,0.2580010,-0.0482660
MsgID.LOCAL_VELOCITY,1521839772.8816531,0.0000428,-0.0000090,0.0000156
MsgID.GLOBAL_POSITION,1521839772.8818638,-122.3974491,37.7924789,0.0470000
MsgID.LOCAL_VELOCITY,1521839772.8818638,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8819809,-0.1659686,0.3660299,-0.0470004
MsgID.LOCAL_VELOCITY,1521839772.8819809,0.0000116,-0.0000383,0.0000102
MsgID.GLOBAL_POSITION,1521839772.8821120,-122.3974518,37.7924792,0.0550000
MsgID.LOCAL_VELOCITY,1521839772.8821120,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8822310,-0.1360162,0.1276767,-0.0556713
MsgID.LOCAL_VELOCITY,1521839772.8822310,0.0000144,-0.0000057,0.0000099
MsgID.STATE,1521839772.8824069,True,True
MsgID.GLOBAL_HOME,1521839772.8825421,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8826492,-122.3974504,37.7924799,0.0730000
MsgID.LOCAL_VELOCITY,1521839772.8826492,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8827689,-0.0628499,0.2513769,-0.0737496
MsgID.LOCAL_VELOCITY,1521839772.8827689,-0.0000071,0.0000026,0.0000179
MsgID.GLOBAL_POSITION,1521839772.8828969,-122.3974495,37.7924794,0.0920000
MsgID.LOCAL_VELOCITY,1521839772.8828969,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8830140,-0.1137604,0.3309261,-0.0926204
MsgID.LOCAL_VELOCITY,1521839772.8830140,-0.0000071,-0.0000126,0.0000183
